1856	45	-1
1856	1369	-1
1856	248	-1
1686	668	-1
1686	248	-1
1856	0	-1
1856	708	-1
1686	0	-1
1856	1702	-1
7605	1645	-1
1856	1618	-1
1856	668	-1
2557	1702	-1
2174	0	-1
3760	45	-1
1856	1235	-1
1686	1702	-1
7605	1943	-1
3760	248	-1
7605	1123	-1
2174	1702	-1
2557	1618	-1
2174	708	-1
1856	1418	-1
2557	0	-1
2174	668	-1
3760	668	-1
7605	1442	-1
2174	248	-1
1856	959	-1
4696	1645	-1
3039	668	-1
4094	1645	-1
1856	1481	-1
314	1645	-1
1856	468	-1
2557	1760	-1
2622	1702	-1
3760	0	-1
3760	708	-1
7605	205	-1
2174	1369	-1
5617	846	-1
2557	81	-1
1686	1618	-1
2613	846	-1
1686	76	-1
2174	631	-1
2174	1618	-1
2557	1481	-1
7605	1637	-1
1729	846	-1
7605	1020	-1
4094	1020	-1
5455	1637	-1
3760	631	-1
4696	1442	-1
7605	597	-1
1856	1090	-1
4352	1442	-1
4444	846	-1
314	1020	-1
1008	1645	-1
1856	44	-1
2741	846	-1
3760	1235	-1
4175	846	-1
7605	401	-1
7605	1165	-1
1856	76	-1
3760	1702	-1
4352	1645	-1
2174	959	-1
2174	1235	-1
3246	0	-1
4352	1647	-1
1686	1418	-1
3760	1618	-1
5254	846	-1
7605	214	-1
663	0	-1
1008	205	-1
1856	358	-1
3246	708	-1
6151	45	-1
314	1637	-1
1008	1123	-1
1008	1442	-1
1008	1943	-1
1686	373	-1
1686	959	-1
2557	708	-1
3246	668	-1
4352	87	-1
6151	708	-1
7605	1622	-1
314	87	-1
314	597	-1
314	1442	-1
2557	373	-1
2622	959	-1
3246	1702	-1
4352	205	-1
4696	205	-1
2174	1483	-1
2557	668	-1
3760	468	-1
4352	1123	-1
4392	205	-1
5455	1442	-1
2174	81	-1
2507	846	-1
2557	1369	-1
4094	1123	-1
1856	373	-1
1856	994	-1
2174	1481	-1
5455	176	-1
5455	1123	-1
314	1123	-1
314	1635	-1
2622	1481	-1
3760	1483	-1
4538	1618	-1
7605	503	-1
314	1647	-1
314	1943	-1
663	1702	-1
1686	1483	-1
1856	101	-1
2174	76	-1
2174	373	-1
2622	0	-1
4352	1637	-1
4352	1943	-1
7605	718	-1
7605	1966	-1
314	205	-1
1008	87	-1
1686	81	-1
1856	490	-1
1856	763	-1
3039	1702	-1
3246	248	-1
3760	1418	-1
4094	597	-1
4352	718	-1
7605	1644	-1
314	214	-1
1686	368	-1
1686	797	-1
1729	1122	-1
4094	176	-1
4094	1442	-1
4352	597	-1
5455	205	-1
5455	750	-1
5617	974	-1
7605	176	-1
7605	1635	-1
314	176	-1
1008	1637	-1
2396	0	-1
4094	829	-1
4352	176	-1
4352	1635	-1
314	718	-1
1686	1481	-1
1856	1457	-1
3760	763	-1
4352	750	-1
4696	750	-1
5455	401	-1
7605	364	-1
1008	176	-1
1008	233	-1
1008	750	-1
1008	1120	-1
1686	1760	-1
1856	317	-1
1856	1760	-1
2174	468	-1
2174	1418	-1
2174	1760	-1
2396	248	-1
2557	101	-1
2613	974	-1
4094	718	-1
4352	307	-1
4352	1020	-1
4545	1442	-1
7605	1422	-1
314	509	-1
1008	718	-1
1686	1891	-1
1856	368	-1
1856	1519	-1
1856	1649	-1
2613	1122	-1
2622	1760	-1
2622	1879	-1
3039	248	-1
3760	81	-1
4094	1637	-1
4352	1120	-1
4392	1123	-1
6886	1702	-1
7605	87	-1
7605	261	-1
314	750	-1
314	829	-1
1686	44	-1
1686	468	-1
1686	994	-1
3246	959	-1
3760	959	-1
4094	307	-1
4094	1647	-1
4352	1165	-1
6886	0	-1
314	1165	-1
314	1561	-1
1008	597	-1
1008	1635	-1
1729	974	-1
